numero;despacho;data
112016015238;9.1;2022-01-25
112016015293;9.1;2022-01-18
112016015313;9.1;2022-01-11
112016015319;9.2;2022-01-11
112016015494;9.1;2022-01-04
112016015523;9.2;2022-01-25
112016015534;9.1;2022-01-18
112016015605;9.1;2022-01-25
112016016193;9.1;2022-01-18
112016016268;9.1;2022-01-18
112016016298;9.1;2022-01-04
112016016301;9.1;2022-01-25
112016016537;9.1;2022-01-04
112016016612;9.1;2022-01-04
112016016733;9.1;2022-01-25
112016016803;9.1;2022-01-11
112016017492;9.1;2022-01-25
112016017526;9.1;2022-01-18
112016017625;9.1;2022-01-04
112016017752;9.1;2022-01-18
112016018401;9.1;2022-01-04
112016018404;9.1;2022-01-18
112016018452;9.1;2022-01-11
112016018477;9.1;2022-01-11
112016018688;9.1;2022-01-04
112016018754;11.2;2022-01-04
112016018803;9.1;2022-01-11
112016018856;9.1;2022-01-18
112016018920;9.1;2022-01-18
112016019005;9.1;2022-01-18
112016019086;9.1;2022-01-18
112016019488;9.1;2022-01-18
112016019537;9.1;2022-01-04
112016019567;9.1;2022-01-04
112016019583;9.1;2022-01-11
112016019651;9.1;2022-01-18
112016020093;9.1;2022-01-18
112016020351;9.1;2022-01-11
112016020385;9.1;2022-01-25
112016020393;9.1;2022-01-18
112016020640;9.1;2022-01-18
112016020715;9.2;2022-01-18
112016020848;9.1;2022-01-11
112016020880;9.1;2022-01-25
112016021082;9.1;2022-01-11
112016021218;9.1;2022-01-11
112016021665;9.1;2022-01-25
112016021726;9.1;2022-01-18
112016021794;9.1;2022-01-18
112016022003;9.1;2022-01-04
112016022363;9.1;2022-01-18
112016022398;11.2;2022-01-25
112016022846;9.1;2022-01-25
112016022849;9.2;2022-01-25
112016022921;9.1;2022-01-25
112016023089;11.2;2022-01-18
112016023225;9.1;2022-01-25
112016024112;9.1;2022-01-11
112016024384;9.1;2022-01-25
112016024586;9.1;2022-01-25
112016024788;9.1;2022-01-25
112016025130;9.1;2022-01-18
112016025264;9.1;2022-01-04
112016025350;9.1;2022-01-18
112016025556;9.1;2022-01-25
112016025892;9.1;2022-01-25
112016025893;9.2;2022-01-11
112016026283;9.1;2022-01-11
112016026722;9.1;2022-01-18
112016026958;9.1;2022-01-04
112016026979;9.1;2022-01-18
112016027074;9.1;2022-01-18
112016027146;11.2;2022-01-11
112016027203;9.1;2022-01-04
112016027382;9.1;2022-01-18
112016027588;9.1;2022-01-11
112016027762;9.2;2022-01-25
112016027829;9.1;2022-01-18
112016027939;9.1;2022-01-25
112016028479;9.1;2022-01-25
112016028550;9.1;2022-01-25
112016028720;9.1;2022-01-18
112016029185;9.1;2022-01-25
112016029487;9.1;2022-01-25
112016029714;9.1;2022-01-11
112016029817;9.1;2022-01-25
112016030273;11.2;2022-01-04
112016030283;9.1;2022-01-25
112016030293;9.1;2022-01-25
112016030466;9.1;2022-01-18
112016030487;9.1;2022-01-25
112016030555;9.1;2022-01-04
112016030570;9.2;2022-01-18
112016030649;9.1;2022-01-18
112016030725;9.1;2022-01-18
112016030745;9.1;2022-01-18
112016030918;9.2;2022-01-11
112016030930;9.1;2022-01-11
112016030955;9.1;2022-01-11
112017000239;9.1;2022-01-25
112017000324;9.1;2022-01-11
112017000455;9.1;2022-01-25
112017000778;9.1;2022-01-18
112017000843;9.1;2022-01-25
112017000858;11.2;2022-01-04
112017000867;11.2;2022-01-11
112017001003;9.1;2022-01-11
112017001085;9.1;2022-01-04
112017001117;9.1;2022-01-18
112017001282;9.1;2022-01-18
112017001427;9.1;2022-01-25
112017001744;9.1;2022-01-11
112017001769;9.1;2022-01-04
112017002002;9.1;2022-01-18
112017002176;9.1;2022-01-04
112017002659;9.1;2022-01-18
112017002689;9.1;2022-01-25
112017002723;9.2;2022-01-04
112017002753;9.1;2022-01-04
112017003077;9.1;2022-01-11
112017003122;9.1;2022-01-25
112017003511;9.1;2022-01-25
112017003581;9.1;2022-01-25
112017003641;9.1;2022-01-11
112017003673;9.1;2022-01-25
112017003858;11.2;2022-01-11
112017004058;9.2;2022-01-11
112017004149;9.1;2022-01-25
112017004167;9.1;2022-01-25
112017004192;9.1;2022-01-25
112017004420;9.1;2022-01-04
112017004496;9.1;2022-01-25
112017004543;9.1;2022-01-25
112017004587;9.1;2022-01-18
112017004656;9.1;2022-01-18
112017005293;9.1;2022-01-18
112017005298;9.1;2022-01-11
112017005410;9.1;2022-01-11
112017005556;9.1;2022-01-25
112017005703;9.1;2022-01-11
112017005934;9.1;2022-01-11
112017006466;9.1;2022-01-11
112017006596;9.2;2022-01-25
112017006774;9.1;2022-01-04
112017007098;11.2;2022-01-11
112017007417;9.1;2022-01-25
112017007489;9.1;2022-01-04
112017007499;9.1;2022-01-18
112017007513;9.1;2022-01-25
112017007608;9.1;2022-01-18
112017007723;9.1;2022-01-18
112017007758;9.1;2022-01-18
112017008256;9.1;2022-01-18
112017008394;9.1;2022-01-11
112017008449;9.1;2022-01-04
112017008870;9.2;2022-01-25
112017008984;9.1;2022-01-25
112017009223;9.1;2022-01-11
112017009639;9.1;2022-01-04
112017009890;9.1;2022-01-25
112017010202;9.1;2022-01-25
112017010573;9.1;2022-01-11
112017010591;9.2;2022-01-18
112017010788;11.2;2022-01-04
112017010966;9.1;2022-01-11
112017011013;9.1;2022-01-11
112017011179;9.1;2022-01-25
112017011190;9.1;2022-01-25
112017011389;9.1;2022-01-18
112017011507;9.1;2022-01-25
112017011527;9.1;2022-01-18
112017011531;11.2;2022-01-04
112017011533;9.1;2022-01-04
112017011535;9.1;2022-01-25
112017011754;9.1;2022-01-04
112017011886;9.1;2022-01-04
112017011917;9.1;2022-01-25
112017012111;9.1;2022-01-25
112017012117;9.1;2022-01-25
112017012179;9.1;2022-01-25
112017012369;9.1;2022-01-25
112017012521;9.1;2022-01-25
112017012528;9.2;2022-01-18
112017012562;9.1;2022-01-18
112017012881;9.1;2022-01-25
112017012902;9.1;2022-01-11
